Name of this Candlestick Chart,,,,,,,,,
time interval(minutes),15,,,,,,,,
days to show(0 = all),0,,,,,,,,
extension count,4,,,,,,,,
DATE,Open,High,Low,Close,New Date Indicator,Activation_orange_line,Limitation_blue_line,Take Profit_green_line,Stop Loss_red_line
2016-05-31 21:15:00,6.71,6.73,6.71,6.73,1,6.64,,,
2016-05-31 21:30:00,6.67,6.8,6.67,6.8,,6.64,,,
2016-05-31 21:45:00,6.79,6.8,6.74,6.76,,6.64,,,
2016-05-31 22:00:00,6.75,6.79,6.74,6.75,,6.64,,,
2016-05-31 22:15:00,6.75,6.77,6.75,6.75,,6.64,,,
2016-05-31 22:30:00,6.74,6.77,6.73,6.76,,6.64,,,
2016-05-31 22:45:00,6.77,6.78,6.75,6.76,,6.64,,,
2016-05-31 23:00:00,6.75,6.78,6.75,6.76,,6.64,,,
2016-05-31 23:15:00,6.77,6.8,6.75,6.78,,6.64,,,
2016-05-31 23:30:00,6.79,6.8,6.76,6.8,,6.64,,,
2016-05-31 23:45:00,6.8,6.82,6.78,6.82,,6.64,,,
2016-06-01 00:00:00,6.81,6.855,6.81,6.855,,6.64,,,
2016-06-01 00:15:00,6.86,6.87,6.85,6.85,,6.64,,,
2016-06-01 00:30:00,6.85,6.96,6.84,6.93,,6.64,,,
2016-06-01 00:45:00,6.93,6.93,6.89,6.89,,6.64,,,
2016-06-01 01:00:00,6.9,6.93,6.9,6.93,,6.64,,,
2016-06-01 01:15:00,6.92,6.92,6.88,6.91,,6.64,,,
2016-06-01 01:30:00,6.92,6.92,6.85,6.85,,6.64,,,
2016-06-01 01:45:00,6.85,6.85,6.77,6.78,,6.64,,,
2016-06-01 02:00:00,6.76,6.77,6.735,6.75,,6.64,,,
2016-06-01 02:15:00,6.75,6.76,6.74,6.76,,6.64,,,
2016-06-01 02:30:00,6.76,6.76,6.69,6.7,,6.64,,,
2016-06-01 02:45:00,6.7,6.71,6.6,6.63,,6.64,,,
2016-06-01 03:00:00,6.63,6.7,6.63,6.68,,,6.64,6.72,6.31
2016-06-01 03:15:00,6.68,6.69,6.66,6.67,,,,6.72,6.31
2016-06-01 03:30:00,6.67,6.69,6.65,6.67,,,,6.72,6.31
2016-06-01 03:45:00,6.67,6.76,6.67,6.69,,,,6.72,6.31
2016-06-01 04:15:00,6.69,6.69,6.69,6.69,,,,,6.31
2016-06-01 04:30:00,6.69,6.69,6.69,6.69,,,,,6.31
2016-06-01 21:15:00,6.52,6.52,6.52,6.52,1,6.5,,,
2016-06-01 21:30:00,6.59,6.69,6.57,6.61,,6.5,,,
2016-06-01 21:45:00,6.605,6.62,6.47,6.5,,6.5,,,
2016-06-01 22:00:00,6.495,6.52,6.46,6.51,,,6.5,6.7,6.25
2016-06-01 22:15:00,6.5,6.58,6.49,6.58,,,,6.7,6.25
2016-06-01 22:30:00,6.575,6.64,6.575,6.6,,,,6.7,6.25
2016-06-01 22:45:00,6.59,6.62,6.58,6.6,,,,6.7,6.25
2016-06-01 23:00:00,6.595,6.63,6.59,6.63,,,,6.7,6.25
2016-06-01 23:15:00,6.64,6.74,6.64,6.71,,,,6.7,6.25
2016-06-01 23:30:00,6.69,6.74,6.69,6.69,,,,,6.25
2016-06-01 23:45:00,6.7,6.74,6.69,6.735,,,,,6.25
2016-06-02 00:00:00,6.735,6.735,6.7,6.71,,,,,6.25
2016-06-02 00:15:00,6.715,6.72,6.7,6.71,,,,,6.25
2016-06-02 00:30:00,6.71,6.71,6.68,6.69,,,,,6.25
2016-06-02 00:45:00,6.68,6.7,6.68,6.7,,,,,6.25
2016-06-02 01:00:00,6.69,6.7,6.68,6.69,,,,,6.25
2016-06-02 01:15:00,6.7,6.7,6.65,6.69,,,,,6.25
2016-06-02 01:30:00,6.68,6.69,6.67,6.68,,,,,6.25
2016-06-02 01:45:00,6.68,6.685,6.665,6.675,,,,,6.25
2016-06-02 02:00:00,6.675,6.68,6.64,6.65,,,,,6.25
2016-06-02 02:15:00,6.65,6.66,6.63,6.65,,,,,6.25
2016-06-02 02:30:00,6.65,6.65,6.64,6.645,,,,,6.25
2016-06-02 02:45:00,6.64,6.67,6.64,6.67,,,,,6.25
2016-06-02 03:00:00,6.67,6.7,6.67,6.7,,,,,6.25
2016-06-02 03:15:00,6.7,6.7,6.65,6.655,,,,,6.25
2016-06-02 03:30:00,6.65,6.68,6.645,6.67,,,,,6.25
2016-06-02 03:45:00,6.67,6.685,6.66,6.66,,,,,6.25